,City,Lat,Lng
283,Chelyan,38.1955157,-81.4934985
284,Brookville,39.4231065,-85.0127376
285,Asher,34.9896707,-96.9237064
286,Challis,44.5051319,-114.23137
287,Durand,42.9119885,-83.9846367
288,Pottsville,40.6851324,-76.1953701
289,Charles Town,39.2891836,-77.859581
290,Wrightwood,34.3608341,-117.633388
291,Scotts Mills,45.0433165,-122.6680889
292,Sumrall,31.4173935,-89.5422909
293,National City,44.2341852,-83.7233171
294,Dunbar,38.3606509,-81.7373485
295,East Hanover,40.8200998,-74.3648731
296,Ackerman,33.3101243,-89.1728434
297,Center Rutland,43.6047689,-73.0114438
298,Blacklick,39.9956195,-82.811286
299,Elfrida,31.6853714,-109.6870138
300,Prairie du Chien,43.05194,-91.1409933
301,Antero Junction,38.922302,-105.9671225
302,Miles City,46.4085273,-105.840981
303,Sayre,41.9789631,-76.515499
304,Indian Orchard,42.1584269,-72.4995308
305,Wernersville,40.3300924,-76.0804972
306,Kennard,31.3596258,-95.1832721
307,New Bloomfield,38.7203167,-92.0912956
308,Mount Calm,31.7562739,-96.8791613
309,Houghton,47.121872,-88.569012
310,Rosine,37.4503277,-86.7413779
311,Gillette,44.290635,-105.501876
312,Grant-Valkaria,27.9409893,-80.5765033
313,Millersville,39.997998,-76.3545372
314,Mackay,43.91463,-113.613355
315,Sudbury,42.3834278,-71.4161725
316,Rockmart,34.0026005,-85.0416133
317,Indian Trail,35.0768141,-80.6692352
318,Uvalda,32.035743,-82.5081868
319,East Weymouth,42.2159207,-70.9243136
320,South Jordan,40.5584882,-111.9367107
321,Bono,35.9089594,-90.7987293
322,Madbury,43.16963,-70.924301
323,Maggie Valley,35.5181575,-83.0976419
324,Fertile,47.5360723,-96.2802293
325,Jones Creek,28.9685817,-95.4552208
326,Pembine,45.635239,-87.990953
327,Sandown,42.928698,-71.1870053
328,Hershey,40.2854881,-76.6506001
329,Los Alamos,35.893533500000004,-106.28970107056452
330,Gleason,45.3088514,-89.4965121
331,Helen,34.7009043,-83.7294546
332,Crane Lake,48.266691,-92.489427
333,Fort Mill,35.0073697,-80.9450759
334,Burnham,44.6928432,-69.4275466
335,Village of Cross Plains,43.1116968,-89.6452197
336,West Seattle,47.5709315,-122.3865166
337,Sinclair Island,48.6189512,-122.68040390628906
338,East Troy,42.7851871,-88.4054374
339,Town of Manitowish Waters,46.111022750000004,-89.86661458314185
340,Hulett,44.68276,-104.601682
341,Harshaw,45.6655138,-89.6554181
342,Wall Township,40.1743052,-74.0902219
343,Hamburg,42.4486456,-83.8016097
344,Cavendish,43.3820189,-72.6085084
345,Pelican Lake,45.4994047,-89.1667856
346,Annville,37.324490999999995,-83.95916768820224
347,Kiel,43.912493,-88.0356515
348,Elmhurst,41.8994745,-87.9403418
349,Elmhurst,41.8994745,-87.9403418
350,Owen,44.9485796,-90.5643019
351,Fish Creek,45.1277686,-87.2467256
352,Sturgeon Bay,44.8341639,-87.377042
353,Shawano,44.7822064,-88.6089917
354,Northumberland,40.8951025,-76.8053934
355,Payneville,37.9895115,-86.3130295
356,Orrock,45.4438601,-93.7363733
357,Chetek,45.3141273,-91.6510007
358,Detroit Lakes,46.817181,-95.845325
359,Urbana,40.1083912,-83.7524298
360,North Rim,36.1998553,-112.0527079
361,Benavides,27.5958449,-98.4118298
362,New Holland,40.1017643,-76.085227
363,Escalante,37.7703057,-111.602166
364,Sublimity,44.8295663,-122.7945335
365,Hazel Green,34.9323101,-86.5719385
366,Fort Yates,46.086941,-100.630127
367,Saxtons River,43.1387986,-72.5073793
368,Weld,44.698922,-70.421677
369,Stockholm,47.042522,-68.139954
370,Roosevelt Lake Gardens West,33.8505995,-111.3062422
371,Starrucca,41.8998055,-75.4707352
372,West Forks Plantation,45.3969946,-70.0361746
373,Elkins Park,40.0770553,-75.1268413
374,Cobbtown,32.2804623,-82.138731
375,Kratzerville,40.8590345,-76.89830506821168
376,Lopez Island,48.49559495,-122.9041221116354
377,Stockton Springs,44.4895196,-68.8569762
378,Palm Bay,27.9946969,-80.6366144
379,Pearsall,28.8921939,-99.095033
380,Morton,32.3537557,-89.6545171
381,St. Louis,38.6280278,-90.1910154
382,Forestdale,41.9945427,-71.5633965
383,Hauula,21.609712,-157.912249
384,Lagrangeville,41.650927,-73.7629088
385,Hogansville,33.1731769,-84.914936
386,Ponchatoula,30.4388041,-90.4414762
387,Cedar Run,41.5225692,-77.4458131
388,North Litchfield Beach,33.4890571,-79.0825399
389,Wysox,41.7745194,-76.3993837
390,Mount Hermon,37.0510596,-122.0585746
391,Moyock,36.5245972,-76.1782677
392,Cochiti Lake,35.6480855,-106.3375267
393,Laguna Beach,33.5426975,-117.785366
394,Accomac,37.7195742,-75.6654845
395,Clutier,42.0791167,-92.4037311
396,SeaTac,47.4449086,-122.283084
397,Zionsville,39.950724,-86.2616968
398,Olive Branch,34.9617605,-89.8295315
399,Garrett,41.3494927,-85.1355271
400,Rock Creek,45.7574574,-92.9624327
401,Milledgeville,33.0801429,-83.2320991
402,Old Town,44.934669,-68.645325
403,Cascade Locks,45.669513,-121.890402
404,Warda,30.0552201,-96.9138702
405,Grand Isle,44.7225436,-73.2923538
406,Downer,46.7541272,-96.4870146
407,Gibbstown,39.82410645,-75.27820967980284
408,Trio,33.4859989,-79.7175693
409,Angleton,29.16941,-95.4318847
410,Ajo,32.3771926,-112.8645745
411,Port Neches,29.9913244,-93.9585067
412,Manalapan Township,40.2852895,-74.333495
413,New Lexington,39.7139579,-82.2084805
414,Fairacres,32.3039821,-106.8466728
415,Star Valley,34.2540333,-111.2613523
416,Blue River,43.1878709,-90.567457
417,Nappanee,41.4427856,-86.0013699
418,Sparland,41.0286474,-89.4384235
419,Teton Village,43.587984,-110.827989
420,Dauphin Island,30.2542022,-88.1124817
421,Weed,41.42265,-122.386127
422,Lee's Summit,38.9107156,-94.3821295
423,Ballston Lake,42.9117428,-73.8681782
424,Gonzalez,30.5815828,-87.2913629
425,Oley,40.3875936,-75.7896403
426,New Prague,44.5433331,-93.5760445
427,White Post,39.0570514,-78.1036099
428,Dunnsville,37.8576374,-76.8196842
429,Gilberts,42.1034365,-88.3745145
430,Southborough,42.3056501,-71.5245087
431,Faribault,44.2949637,-93.268827
432,Parma Heights,41.3900518,-81.7595769
433,Harlem,40.8078786,-73.9454154
434,Croydon,40.0873329,-74.9034996
435,Espanola,35.9910962,-106.0808358
436,D'Iberville,30.4263092,-88.8908638
437,Linwood,39.3398404,-74.5751484
438,Plainville,41.6711395,-72.8672429
439,East Islip,40.7320429,-73.1856703
440,San Pablo,37.9621457,-122.3455263
441,Essie,37.0617563,-83.4518525
442,University City,38.6569083,-90.3103443
443,Hacker Valley,38.6526046,-80.3836939
444,Huson,47.0313108,-114.3273412
445,La Farge,43.5751362,-90.6394929
446,Efland,36.0812507,-79.1691812
447,Fletcher,35.4306712,-82.5012316
448,West Cocalico Township,40.2615822,-76.16105496471457
449,Earle,35.2707245,-90.4656194
450,Worth,41.6899779,-87.7974139
451,Cross Hill,35.0464046,-82.18343662588487
452,Lake Zurich,42.1969689,-88.0934108
453,Ellenwood,34.0342663,-84.412428
454,Glen Rock,40.9628758,-74.1329208
455,City of Industry,34.0182252,-117.9593061
456,Coalfield,36.0289661,-84.4207643
457,Indian Land,35.0018151,-80.8556287
458,Grimes,41.6883214,-93.7910575
459,Cornish,43.4646175,-72.3689049
460,Scituate,41.7851126,-71.611035
461,Hanna City,40.6916904,-89.7951769
462,Braintree,43.970190450000004,-72.722014100449
463,Piketon,39.0681252,-83.0143443
464,Meldrim,32.1432582,-81.3778902
465,South Weymouth,42.1751002,-70.9494899
466,Turners Falls,42.6042523,-72.5564777
467,Wright,34.4350955,-92.0662539
468,West College Corner,39.5675514,-84.8160671
469,Ethridge,35.32369,-87.3036262
470,New Prague,44.5433331,-93.5760445
471,Boylston,42.3561554,-71.7158472
472,Bloomfield Township,42.575186,-83.29398114814815
473,Kevil,37.0850537,-88.8867275
474,Richton Park,41.484479,-87.7033787
475,Hernando,34.8239518,-89.9937018
476,Village of Voorheesville,42.653967,-73.9287366
477,Niland,33.2400366,-115.5188756
478,Fellsmere,27.7677894,-80.6013691
479,New Richmond,38.9486757,-84.2799366
480,Stacy,45.3980205,-92.9874404
481,Tega Cay,35.024312,-81.0278546
482,Ontonagon,46.871053,-89.31403
483,Harahan,29.9404826,-90.2031313
484,Lovettsville,39.2724309,-77.6363426
485,Polacca,35.8366716,-110.381519
486,Red Wing,44.5624676,-92.5338013
487,Glidden,42.0569297,-94.72887
488,Warrenville,33.5509706,-81.8039998
489,McKenzie,31.542384,-86.71497
490,Huffman,30.0271626,-95.0857627
491,Galatia,37.8406038,-88.6092215
492,Mount Juliet,36.200055,-86.5186054
493,Plastow,42.8364781,-71.0947805
494,Millinocket,45.657728,-68.709869
495,Clementon,39.8115033,-74.9829443
496,Rainbow,34.7525907,-86.7363869
497,New Kent,37.5178648,-76.9783631
498,Benld,39.0928246,-89.8039845
499,Farr West,41.2911942,-112.0238271
500,Navasota,30.3874135,-96.0875066
501,Jamesville,42.9920106,-76.0715887
502,Beebe,35.0735738,-91.8863516
503,Chatfield,43.8446296,-92.1880907
504,Fanwood,40.6409555,-74.383846
505,Blue Hill,44.414164,-68.58696
506,Walkerville,43.714455,-86.124513
507,Sabattus,44.1197959,-70.107553
508,Landgraff,37.4117813,-81.4737152
509,Oxon Hill,38.8035961,-76.9896573
510,Aptos Hills-Larkin Valley,36.966775,-121.846761
511,Pecks Pond,41.2831472,-75.0921193
512,Robinson,40.4006911,-79.1406138
513,Beulah,47.26334,-101.777946
514,Five Points,30.2091197,-82.6373457
515,Flamingo,28.3819523,-81.3736813
516,Lumpkin,32.0509895,-84.7990901
517,Kenilworth,40.6760225,-74.289262
518,Austell,33.8126059,-84.6343783
519,Stokes,35.7165488,-77.2646852
520,Eugene,44.0505054,-123.0950506
521,Paisley,42.6937634,-120.5460827
522,Town of Petersburgh,42.7495232,-73.3401106
523,Springer,34.3143393,-97.139878
524,Ida,41.9109023,-83.5734578
